doc_type,file_path,sentence_id,previous_sentence,sentence,next_sentence,target_word,concept,category
CONVRSN,KCP,3571,Look.,He might have got a **flea**.,He might have got a flea Rudy.,flea,flea,flee or insects
CONVRSN,KCP,3572,He might have got a flea.,He might have got a **flea** Rudy.,I doubt it .,flea,flea,flee or insects
CONVRSN,KCP,3576,"You see, see they do  most dogs go down the fields.",Quite possibly he has got a **flea** duck.,I sprayed him with that stuff.,flea,flea,flee or insects
CONVRSN,KCP,5029,it in the fur though,get him a **flea** collar,"The trouble is, if you put, I bought him one, but it knots all his fur up",flea,flea,flee or insects
CONVRSN,KBG,887,What wash?,Mum can I sing   I'm a little a **flea** ?,Sing happy birthday.,flea,flea,flee or insects
OTHERSP,KLY,230,"It's a lie and I tell you why it isn't the southern problem, it's every region's problem.","Every region here got this problem because all of you, every one of you have got local authority workers and other workers and Tylers is like a **flea** on a dog's back it's creeping in and they going, getting everywhere.","Now I work for a local authority so I've got a big interest in this, but I've also been involved as John will remember in a strike.",flea,flea,flee or insects
NEWS,K52,801,"Peter Sellers, subject of a season of movies on Channel 4 at present, starred in The Smallest Show on Earth.",This Fifties comedy was set in a ‘**flea** pit’ cinema called the Bijou where staff turned up the central heating to boiling point in a desert picture to boost ice cream sales.,ITV's World in Action sent two market traders from North Wales to Holland to flog cloth to the descendants of the famous rag traders of Tudor times.,flea,flea,flee or insects
CONVRSN,KST,2241,Right.,You got the **flea** powder?,Yeah.,flea,flea,flee or insects
OTHERPUB,K8Y,471,"However, some of the health improvement came about through natural reduction in disease.","For example, bubonic plague had largely disappeared either because rats developed an immunity to the bacillus or due to a change in the **flea** transmitters.","Likewise, immunity to typhoid and smallpox seems to have increased spontaneously in the human population.",flea,flea,flee or insects
OTHERPUB,BPC,1403,Enjoy the fun of the ‘greatest leaps’ display which illustrates that the leap of a kangaroo is double that of the human Olympic record.,"The frog makes a respectable showing, the **flea**, however, is better at the high jump!",OUR PLANET EARTH,flea,flea,flee or insects
OTHERPUB,BPE,209,"Either way, it has cut the vast queues.","For the artistically inclined the **flea** markets of Paris are full of interest and are, of course, totally free.","Otherwise wandering the boulevards, discovering unspoilt backwaters or just watching the people is as much fun as more expensive pastimes.",flea,flea,flee or insects
NONAC,BMB,878,"A company such as T&L, he says, cannot afford to miss out on significant discoveries these large organisations make.","‘We can be like a **flea** on their backs, but we have to be ready when they turn over.",Otherwise we'll be a squashed flea.’,flea,flea,flee or insects
NONAC,BMB,879,"‘We can be like a flea on their backs, but we have to be ready when they turn over.",Otherwise we'll be a squashed **flea**.’,It is hard to know how all these developments will translate into profits for T&L.,flea,flea,flee or insects
FICTION,BMS,1105,It'll be easy getting him to show me where he's chucked my dreams.,He's a **flea** and I'm a spider.,Watch my web.,flea,flea,flee or insects
NONAC,BN3,1826,Only an idiot would behave as you did.,"I compare you to a **flea** on an elephant's back, shouting —‘unless you behave better, I shall bite you.’",Do you realise you cannot rationalise with the irrational!’,flea,flea,flee or insects
NONAC,BNL,2034,"Choose a good hotel, even bordering on the luxurious if you can.",If there are two of you holidaying together you can cheer each other up and laugh about life's adversities and the fact that you are holidaying in a **flea** pit.,If you are on your own in a hovel it is nothing other than miserable.,flea,flea,flee or insects
OTHERPUB,BNY,56,"The doe visits periodically to feed them, opening and closing the entrance on each occasion.",Rabbits' nests are the breeding ground of the rabbit **flea**.,The fleas' eggs are laid in the nest and once hatched the fleas feed off the young rabbits.,flea,flea,flee or insects
OTHERPUB,B0Y,1709,"Pugstyles, Mr,","leader of a constituency deputation sent away with a **flea** in its ear by Mr Gregsbury, MP.",NN 16.,flea,flea,flee or insects
OTHERPUB,EBN,6,Where else can you find the peaceful old world charm of a beautiful 17th Century inner city so well complemented by the modern efficiency of an exciting cosmopolitan metropolis?,And where else will you find world famous diamond houses alongside colourful second hand **flea** markets?,"Scores of museums, theatres and cinemas offer a multitude of cultural possibilities.",flea,flea,flee or insects
OTHERPUB,ED1,22,History may point at Berlin and say it way here that the dream of communism started to curl up and die.,"The wall has all but disappeared, East German uniforms are on sale in the **flea** markets and it's rumoured the Stasi ‘bug’ factory is now making hearing aids.","Berlin has been reborn, and with the Government moving back here from Boon it'll soon be the capital of Germany once more.",flea,flea,flee or insects
NONAC,EDE,1180,"This was, when all is said and done, class legislation: enacted by one class for the betterment of its lower brethren; not for the correction of its own bad habits.","‘To a wealthy or aristocratic criminal the vengeance of the law is as a **flea**, which merely tickles’, observed Reynolds's Newspaper which thought that as far as the Garotter's Act went ‘only poor, plebeian criminals will be exposed…rich and aristocratic ruffians…are certain to be exempted from flogging’.",It was an entirely sound judgement.,flea,flea,flee or insects
OTHERPUB,EC4,277,On stage he is the fastest improvising comedian in the States.,"He plays the piano, sings like a **flea** and electrifies the audience.","‘A dazzling comedian with frenetic, word-tumbling intelligence’Scotland on Sunday",flea,flea,flee or insects
OTHERPUB,ECU,2252,"He, Columbus, is merely her four hundred and twentieth idiot.","He is her clown, her performing **flea**.","This, too, is a plausible scenario.",flea,flea,flee or insects
OTHERPUB,ECU,3368,I've had to work twice as hard to prove myself.’,"According to Shimon Samuels of the Paris-based Simon Wiesenthal Centre, the games were first sold on Nazi memorabilia stalls at **flea** markets in Austria.","Eastern Europe also provided an enthusiastic market, as Commodore 64 computers, obsolete in the west, were sold for a song to young people eager for unity and a non-communist identity.",flea,flea,flee or insects
